,Medicine Name,Use,Side Effects,Dosage
785,Margenza,"Margenza (margetuximab-cmkb) is a HER2/neureceptor antagonist indicated, in combination with chemotherapy, to treat adult patients with metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 regimens, at least one of which was for metastatic disease.","['fatigue,', 'weakness,', 'nausea,', 'diarrhea,', 'vomiting,', 'constipation,']","Margenza is administered as an intravenous infusion at 15 mg/kg over 120 minutes for the initial dose, then over a minimum of 30 minutes every 3 weeks for all subsequent doses."
786,Livtencity,"Livtencity (maribavir) is a cytomegalovirus (CMV) pUL97 kinase inhibitor indicated for the treatment of adults and pediatric patients (12 years of age and older and weighing at least 35 kg) with post-transplant CMV infection/disease that is refractory to treatment (with or without genotypic resistance) with ganciclovir, valganciclovir, cidofovir, or foscarnet. ","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat, and', 'severe dizziness', 'taste disturbance,\xa0', 'nausea,\xa0']",The recommended dosage of Livtencity in adults and pediatric patients (12 years of age and older and weighing at least 35 kg) is 400 mg (two 200 mg tablets) taken orally twice daily with or without food.
787,Marinol,"Marinol (dronabinol) is a cannabinoid, a man-made form of cannabis (marijuana is an herbal form of cannabis), used to treat loss of appetite in people with AIDS, and to treat severe nausea and vomiting caused by cancer chemotherapy. Marinol is used only when other medications are unable to control the nausea and vomiting. Marinol is available in generic form.","['seizure,', 'fast or pounding heartbeats,', 'lightheadedness,', 'confusion,', 'trouble sleeping,', 'problems with memory,']","For appetite stimulation the initial dose of Marinol is 2.5 mg taken orally twice daily. For nausea and vomiting, the initial dose of Marinol is 5 mg/m2, given 1 to 3 hours prior to the administration of chemotherapy, then every 2 to 4 hours after chemotherapy is given, for a total of 4 to 6 doses/day."
788,Marlissa,"Marlissa (levonorgestrel and ethinyl estradiol tablets, 0.15 mg/0.03 mg) is an oral contraceptive indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception. Marlissa is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'sudden numbness or weakness (especially on one side of the body),', 'severe headache,', 'slurred speech,']","To achieve maximum contraceptive effectiveness, Marlissa must be taken exactly as directed and at intervals not exceeding 24 hours. The dosage of Marlissa is one light-orange tablet daily for 21 consecutive days, followed by one pink inert tablet daily for 7 consecutive days, according to prescribed schedule."
789,Marplan,"Marplan (isocarboxazid) is a monoamine oxidase inhibitor (MAOI) used to treat symptoms of depression that may include anxiety, panic, or phobias. Marplan is usually given after other antidepressants have been tried without successful treatment of symptoms.","['dizziness, ', 'headache, ', 'drowsiness, ', 'tiredness, ', 'weakness, ', 'problems sleeping, ']","Starting dose of Marplan is one tablet (10 mg) twice daily. If tolerated, dosage may be increased by increments of 10 mg every 2 to 4 days to achieve a dosage of four tablets daily (40 mg) by the end of the first week of treatment. Dosage can then be increased to a maximum recommended dosage of 60 mg/day."
790,Marqibo,Marqibo (vinCRIStine sulfate liposome injection) is a vinca alkaloid indicated for the treatment of adult patients with Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL) in second or greater relapse or whose disease has progressed following two or more anti-leukemia therapies.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe constipation,', 'stomach pain,', 'bloating,']",Marqibo is for intravenous use only and is administered at a dose of 2.25 mg/m2 intravenously over 1 hour once every 7 days.
791,Marvona Suik,"Marvona Suik (bupivacaine hydrochloride injection, solution) is a local anesthetic used to produce local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diagnostic and therapeutic procedures, and for obstetrical procedures. ","['restlessness,', 'anxiety,', 'dizziness,', 'tinnitus,', 'blurred vision,', 'tremors/convulsions,']","The dose of any local anesthetic administered varies with the anesthetic procedure, the area to be anesthetized, the vascularity of the tissues, the number of neuronal segments to be blocked, the depth of anesthesia and degree of muscle relaxation required, the duration of anesthesia desired, individual tolerance, and the physical condition of the patient. "
792,Matulane,Matulane (procarbazine hydrochloride) Capsules is a cancer medication that is given with other cancer medications to treat Hodgkin's Disease (a type of blood cancer).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'diarrhea that is watery,', 'numbness,', 'burning pain,']",All dosages of Matulane are based on the patient's actual weight. The recommended adult starting dose of Matulane is single or divided doses of 2 to 4 mg/kg/day for the first week.
793,Matzim LA,"Matzim LA (diltiazem hydrochloride) are a nondihydropyridine calcium channel blocker used to treat high blood pressure (hypertension), to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and heart attacks. It can be used alone or in combination with other antihypertensives. Matzim LA is also used for improving exercise tolerance in patients with chronic stable angina.","['lower limb fluid retention (edema),', 'sinus congestion,', 'rash,', 'headache,', 'dizziness,', 'fatigue,']",The initial adult dose of Matzim LA to treat hypertension is 180 to 240 mg once daily. Adjust dose according to blood pressure response to a maximum of 540 mg daily. The initial adult dose of Matzim LA to treat angina is 180 mg once daily. Adjust dose according to response to a maximum of 360 mg.
794,Camzyos,Camzyos (mavacamten) is a cardiac myosin inhibitor indicated for the treatment of adults with symptomatic New York Heart Association (NYHA) class II-III obstructive hypertrophic cardiomyopathy (HCM) to improve functional capacity and symptoms.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'fainting, and', 'reduced left ventricular ejection fraction from the heart', 'dizziness and']",The dosage of Camzyos must be individualized based on clinical status and echocardiographic assessment of patient response.
795,Mavenclad,"Mavenclad (cladribine) is a purine antimetabolite indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults. Because of its safety profile, use of Mavenclad is generally recommended for patients who have had an inadequate response to, or are unable to tolerate, an alternate drug indicated for the treatment of MS.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat', 'body aches,', 'pain,', 'chills,']",The cumulative dosage of 3.5 mg/kg Mavenclad is administered orally and divided into 2 treatment courses (1.75 mg/ kg per treatment course). Each treatment course is divided into 2 treatment cycles.
796,Mavik,"Mavik (trandolapril) is an ACE (angiotensin converting enzyme) inhibitor used to treat high blood pressure (hypertension), and to improve survival after a heart attack. Mavik is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'lightheadedness,', 'upper stomach pain,', 'yellowing of the skin or eyes (jaundice),']","To treat hypertension, the recommended initial dosage of Mavik for patients not receiving a diuretic is 1 or 2 mg once daily. Most patients require dosages of 2 to 4 mg once daily. Following a heart attack, the recommended starting dose is 1 mg, once daily, adjusted toward a target dose of 4 mg, once daily."
797,Mavyret,"Mavyret (glecaprevir and pibrentasvir) tablets are a fixed-dose combination of a hepatitis C virus (HCV) NS3/4A protease inhibitor and an HCV NS5A inhibitor, indicated for the treatment of patients with chronic HCV genotype (GT) 1, 2, 3, 4, 5 or 6 infection without cirrhosis and with compensated cirrhosis (Child-Pugh A). Mavyret is also indicated for the treatment of adult patients with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor, but not both.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat, and', 'severe dizziness', 'headache,', 'fatigue,']",All patients are tested for HBV infection prior to initiating therapy with Mavyret by measuring HBsAg and anti-HBc. The recommended dosage of Mavyret is three tablets (total daily dose: glecaprevir 300 mg and pibrentasvir 120 mg) taken orally once daily with food.
798,Maxair,"Maxair (pirbuterol) inhalation is a bronchodilator used to treat conditions such as asthma, bronchitis, and emphysema.","['headache,', 'dizziness,', 'lightheadedness,', 'insomnia,', 'tremor,', 'nervousness,']",The usual dose of Maxair for adults and children 12 years and older is two inhalations (400 mcg) repeated every 4-6 hours. One inhalation (200 mcg) repeated every 4-6 hours may be sufficient for some patients. A total daily dose of 12 inhalations should not be exceeded.
799,Maxalt,Maxalt (rizatriptan) tablets is a selective 5-hydroxytryptamine1B/1D (5-HT1B/1D) receptor agonist used to treat the pain of migraine headache. Maxalt is believed to work by narrowing the blood vessels around the brain and by decreasing levels of substances involved in the development of migraine pain. Maxalt will only treat a headache that has already begun. Maxalt will not prevent headaches or reduce the number of attacks.,"['sudden and severe stomach pain,', 'bloody diarrhea,', 'cold feeling,', 'numbness in your feet and hands,', 'severe headache,', 'blurred vision,']",The recommended starting dose of Maxalt is either 5 mg or 10 mg for the acute treatment of migraines in adults.
800,Maxaquin,"Maxaquin (lomefloxacin hydrochloride) is a fluoroquinolone antibiotic used to treat various bacterial infections, such as bronchitis and urinary tract infections. The brand name Maxaquin is discontinued, but generic versions may be available.","['nausea', 'vomiting', 'diarrhea', 'headache', 'lightheadedness', 'drowsiness']",The recommended daily dose of Maxaquin is 400 mg. The duration of treatment depends on the condition being treated.
801,Maxide,"Maxzide (triamterene and hydrochlorothiazide) is a combination of a potassium-conserving diuretic and a natriuretic agent and is prescribed as a treatment for hypertension (high blood pressure) and edema. Maxzide is also a diuretic given to patients who cannot risk low blood potassium. Maxzide may be used alone or in combination with other antihypertensive drugs, such as beta-blockers but dosages may need to be adjusted; regardless, potassium levels in patients is recommended for all patients taking Maxzide. Maxzide is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'sore throat,', 'burning eyes,']","Maxzide has two preparations based on the strengths of the two components; triamterene and hydrochlorothiazide at concentrations of 37.5 and 25 mg or 75 and 50 mg, respectively. The usual dose of Maxzide is 25mg based on the hydrochlorothiazide concentration, one or two tablets daily, given as a single dose. Divided daily doses, (rather than a single daily dose, and not recommend by the supplier) may place patients at an increased risk of electrolyte imbalance and kidney dysfunction."
802,Maxidex Ointment,"Maxidex (dexamethasone sodium phosphate) Ointment is an adrenocortical steroid used for steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe. These include:","['allergic conjunctivitis, ', 'acne rosacea, ', 'superficial punctate keratits, ', 'herpes zoster keratitis, ', 'iritis, ', 'cyclitis, ']","Apply a one-half to one-inch ribbon of Maxidex Ointment into the eye up to four times daily. When a favorable response is observed, dosage may be reduced gradually to once a day application for several days."
803,Maxidex Suspension,Maxidex (dexamethasone ophthalmic suspension) 0.1% Suspension is an adrenocortical steroid used for:,"[' steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, ', 'cornea, ', 'and anterior segment of the globe such as allergic conjunctivitis, ', 'acne rosacea,', 'superficial punctate keratitis,', ' herpes zoster keratitis, ']","The dose of Maxidex is one or two drops topically in the eye(s). In severe disease, drops may be used hourly, being tapered to discontinuation as the inflammation subsides. In mild disease, drops may be used up to four to six times daily."
804,Maxipime,"Maxipime (cefepime hydrochloride) is a broad-spectrum cephalosporin antibiotic used to treat many kinds of bacterial infections, including severe or life-threatening forms.","['hives,', 'difficulty breathing,', 'swelling in your face or throat,', 'fever,', 'sore throat,', 'burning in your eyes,']",The dose of Maxipime is determined by a physician and is based on the type of infection and the patient's body weight.
805,Maxitrol,Maxitrol (neomycin and polymyxin B sulfates and dexamethasone) Ophthalmic Suspension Sterile is a combination of two antibiotics and a steroid used to treat bacterial infections of the eyes. Maxitrol is available in generic form.,"['stinging/burning of the eyes for 1 to 2 minutes when Maxitrol is applied,', 'irritation, ', 'itching, ', 'redness, ', 'blurred vision, ', 'eyelid itching, ']","Dosing of Maxitrol: One to two drops in the conjunctival sac(s). In severe disease, drops may be used hourly, being tapered to discontinuation as the inflammation subsides. In mild disease, drops may be used up to four to six times daily."
806,Mayzent,"Mayzent (siponimod) is a sphingosine 1-phosphate receptor modulator indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'slow or irregular heartbeats,\xa0', 'vision problems,\xa0', 'blurred vision,\xa0']",Initiate Mayzent with a 5-day titration. The recommended maintenance dosage of Mayzent is 2 mg.
807,MD-76r,"MD-76R (diatrizoate meglumine and diatrizoate sodium injection) is a radiopaque contrast agent indicated for excretion urography, aortography, pediatric angiocardiography, peripheral arteriography, selective renal arteriography, selective visceral arteriography, selective coronary arteriography with or without left ventriculography, contrast enhancement of computed tomographic brain imaging and for intravenous digital subtraction angiography.","['pain and flushing of the skin,', 'nausea,', 'vomiting, or', 'feeing of warmth']",The dose of MD-76R depends on the procedure being performed.
808,MD-Gastroview,"MD-Gastroview (diatrizoate meglumine and diatrizoate sodium solution) is a radiopaque contrast medium indicated for radiographic examination of segments of the gastrointestinal tract (esophagus, stomach, proximal small intestine, and colon). The preparation is particularly indicated when a more viscous agent such as barium sulfate, which is not water-soluble, is not feasible or is potentially dangerous. MD-Gastroview may also be used as an adjunct to contrast enhancement in computed tomography of the torso (body imaging); the preparation is indicated, in conjunction with intravenous administration of a radiopaque contrast agent, when unenhanced imaging may not provide sufficient definition in distinguishing normal loops of bowel from adjacent organs or areas of suspected pathology. MD-Gastroview is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'unusually fast heartbeat,', 'headache,', 'increased sensitivity to heat,']","The adult oral dosage of MD-Gastroview may range from 30 to 90 mL (11 to 33 g iodine), depending on the nature of the examination and the size of the patient. For infants and children less than 5 years of age, a dose of 30 mL (11 g iodine) are usually adequate; for children 5 to 10 years of age, the suggested dose of MD-Gastroview is 60 mL (22 g iodine)."
809,MDP Multidose Kit of Technetium Injection,"MDP Multidose Kit for the Preparation of Technetium Tc99m Medronate Injection is a diagnostic aid used as a bone imaging agent to delineate areas of altered osteogenesis. The brand name MDP Multidose Kit is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'weakness,', 'dizziness,', 'itching,']",
810,MDP-25,MDP-25 (kit for the preparation of technetium Tc 99m medronate injection) may be used as a bone imaging agent to delineate areas of altered osteogenesis.,"['hypersensitivity reactions (itching, skin rashes, low blood pressure, chills, nausea, fever, and vomiting).']","The recommended adult dose of MDP-25, after reconstitution with oxidant-free sodium pertechnetate Tc 99m, is 370 to 740 megabecquerels (10 to 20 millicuries [200 &#956;Ci/kg]) by slow intravenous injection over a period of 30 seconds. Optimum scanning time is 1 to 4 hours post-injection."
811,M-R-Vax II,M-R-Vax II (measles and rubella virus vaccine live) is a live virus vaccine for immunization against measles (rubeola) and rubella (German measles). M-R-Vax II is available in generic form.,"[' injection site reactions (burning, stinging, swelling, tenderness, and hives)', ' sore throat', ' cough', ' runny nose', ' headache', ' dizziness']","The dosage of M-R-Vax II vaccine is the same for all persons. The total volume of the single dose vial (about 0.5 mL) or 0.5 mL of the multiple dose vial of reconstituted vaccine is injected subcutaneously, preferably into the upper arm."
812,ProQuad,"ProQuad [Measles, Mumps, Rubella and Varicella (Oka/Merck) Virus Vaccine Live] is a ""live"" vaccine used to prevent the diseases of measles, mumps, rubella and varicella. ProQuad is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'sore throat,', 'burning eyes,']","Individuals 12 months through 12 years of age should receive a single 0.5-mL dose of ProQuad administered subcutaneously. At least 1 month should elapse between a dose of a measles-containing vaccine such as M-M-R II, and a dose of ProQuad."
813,Attenuvax,"Attenuvax (measles virus) Vaccine Live is an immunization used against measles (rubeola). 

","[' injection site reactions (redness, burning, stinging, swelling, blistering, or hives)', ' headache', ' dizziness', ' irritability', ' fussiness', ' excessive crying']","The dose of Attenuvax for any age is 0.5 mL administered subcutaneously, preferably into the outer aspect of the upper arm. The recommended age for primary vaccination is 12 to 15 months."
814,Priorix,"Priorix (measles, mumps, and rubella vaccine, live) is a vaccine indicated for active immunization for the prevention of measles, mumps, and rubella in individuals 12 months of age and older.","['injection site reactions (pain, redness, swelling),', 'irritability,', 'loss of appetite,', 'drowsiness, and', 'fever.', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;']",Each dose of Priorix is approximately 0.5 mL. The first dose is administered at 12 through 15 months of age. The second dose is administered at 4 through 6 years of age.
815,M-M-R II,"M-M-R II (measles, mumps, and rubella virus vaccine live) is a live virus vaccine for vaccination against measles, mumps, and rubella (German measles). M-M-R II vaccine is available in generic form. ","['injection site reactions (pain, redness, swelling, or a lump), ', 'fever, ', 'rash, ', 'headache, ', 'dizziness, ', 'joint or muscle pain, ']","The dose of M-M-R II vaccine for any age is 0.5 mL administered subcutaneously, preferably into the outer aspect of the upper arm. The recommended age for primary vaccination is 12 to 15 months."
816,Mebaral,"Mebaral (mephobarbital) is a barbiturate used as a sedative to treat anxiety, tension, and apprehension (dreading or feeling uneasy about what you think may happen). Mebaral is also used to treat seizures. Mebaral is available in generic form.","['\xa0drowsiness', 'dizziness', 'upset stomach', 'headache', 'memory or thinking problems', 'nervousness']","The adult dose of Mebaral for sedation is 32 to 100 mg; optimum dose, 50 mg, three to four times daily. The average dose for adults to treat epilepsy is 400 mg to 600 mg daily."
817,Vermox,"Vermox (mebendazole) is an ""antihelmintic,"" or anti-worm, medication used to treat infections caused by worms such as whipworm, pinworm, roundworm, and hookworm. Vermox is also used to treat infections caused by more than one of these worms at the same time. The brand name Vermox is no longer available in the U.S. Generic versions may be available.","['sudden weakness,', 'ill feeling,', 'fever,', 'chills,', 'sore throat,', 'mouth sores,']","The dose of mebendazole for children and adults to treat whipworm, roundworm, and hookworm is 1 tablet taken morning and evening for 3 consecutive days. The dose to treat pinworm is 1 tablet, taken just once."
818,Emverm,"Emverm (mebendazole) Chewable Tablet is a broad-spectrum anthelmintic indicated for the treatment of Enterobius vermicularis (pinworm), Trichuris trichiura (whipworm), 
Ascaris lumbricoides (common roundworm), Ancylostoma duodenale (common hookworm), 
Necator americanus (American hookworm) in single or mixed infections.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'sudden weakness,', 'ill feeling,', 'fever,']","The dose of Emverm for adults and children to treat pinworm is one tablet, taken once. The dose of Emverm for adults and children to treat whipworm, common roundworm, or hookworm, is one tablet, taken morning and evening for 3 consecutive days."
819,Inversine,"Inversine (mecamylamine HCl) is an antihypertensive medication used to treat moderate to severe hypertension (high blood pressure). The brand name Inversine is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'tremors,', 'jerky muscle movements,', 'numbness,']","Therapy with Inversine is usually started with one 2.5 mg twice a day. The average total daily dosage of Inversine is 25 mg, usually in three divided doses."
820,Vecamyl,Vecamyl (mecamylamine hcl tablet) is an antihypertensive drug and ganglion blocker used to manage moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'tremors,', 'jerky muscle movements,', 'numbness,']",The initial dose of Vecamyl is one 2.5 mg tablet twice a day. This initial dosage may be modified by increments of one 2.5 mg tablet at intervals of not less than 2 days until the desired blood pressure response occurs.
821,Increlex,Increlex (mecasermin [rDNA origin]) Injection is a man-made form of insulin-like growth factor-1 (IGF-1) used to treat growth failure in children whose bodies do not make enough IGF-1.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'pain in the hip or knee,', 'walking with a limp,', 'headache,']","The recommended starting dose of Increlex is 0.04 to 0.08 mg/kg (40 to 80 micrograms/kg) twice daily by subcutaneous injection. If well tolerated for at least one week, the dose may be increased by 0.04 mg/kg per dose, to the maximum dose of 0.12 mg/kg given twice daily."
822,Iplex,"Iplex (mecasermin rinfabate [rDNA origin] injection) is a man-made form of insulin-like growth factor-1 (IGF-1) used to treat growth failure in children whose bodies do not make enough IGF-1. The brand name Iplex is discontinued, but generic versions may be available.","['ear infection', 'swollen lymph nodes', 'high or low blood sugar', 'bruising', 'injection site reactions', 'iron deficiency anemia']","Iplex dosage is individualized for each patient. Iplex is administered via subcutaneous injection at an initial dose of 0.5 mg/kg, to be increased into the therapeutic dose range of 1 to 2 mg/kg, given once daily."
823,Valchlor,Valchlor (mechlorethamine) Gel is a topical (for the skin) alkylating drug used to treat Stage IA and IB mycosis fungoides-type cutaneous T-cell lymphoma in patients who have received prior skin-directed therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'a new skin lesion,', 'severe skin irritation,', 'itching,']",Apply a thin film dose of Valchlor gel once daily to affected areas of the skin.
824,Mustargen,"Mustargen (mechlorethamine HCl) is a cancer (antineoplastic) medication used to treat several types of cancer, such as Hodgkin's Disease, lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, lung cancer and mycosis fungoides. Mustargen is also used to treat certain other blood disorders (polycythemia vera) and is sometimes injected into body spaces, such as the chest, abdomen or the sack containing the heart, to stop the accumulation of fluids caused by cancer.","[' nausea/vomiting (may be severe)', ' loss of appetite', ' diarrhea', ' headache', ' confusion', ' drowsiness']","The dosage of Mustargen varies with the clinical situation, the therapeutic response and the magnitude of hematologic depression. A total dose of 0.4 mg/kg of ideal dry body weight for each course usually is given either as a single dose or in divided doses of 0.1 to 0.2 mg/kg per day."
825,Antivert,"Antivert (meclizine HCl) is an antihistamine used to prevent or treat nausea, vomiting, and dizziness caused by motion sickness and may be used to reduce lightheadedness, dizziness, and loss of balance (vertigo) caused by diseases that affect the inner ear. Antivert is available as a generic drug, and should be taken by mouth with or without food, or as directed by your doctor.","['blurred vision, ', 'dry mouth, ', 'constipation,', 'dizziness, ', 'drowsiness, ', 'headache, ']","For the control of vertigo associated with diseases affecting the vestibular system, the recommended dose of Antivert is 25 to 100 mg daily, in divided dosage, depending upon clinical response. The initial dose of 25 to 50 mg of Antivert should be taken one hour prior to embarkation for protection against motion sickness. Thereafter, the dose may be repeated every 24 hours for the duration of the journey."
826,Meclizine Hydrochloride,"Meclizine hydrochloride is an oral antiemetic (anti-nausea) indicated for the prevention and treatment of nausea, vomiting, or dizziness associated with motion sickness. This medication is available in generic form.","[' drowsiness', ' dry mouth, and', ' blurred vision']","The initial dose of 25 to 50 mg meclizine hydrochloride should be taken one hour prior to travel for protection against motion sickness. Thereafter, the dose may be repeated every 24 hours for the duration of the journey."
827,Meclizine Hydrochloride,"Meclizine hydrochloride is an oral antiemetic (anti-nausea) indicated for the prevention and treatment of nausea, vomiting, or dizziness associated with motion sickness. This medication is available in generic form.","[' drowsiness', ' dry mouth, and', ' blurred vision']","The initial dose of 25 to 50 mg meclizine hydrochloride should be taken one hour prior to travel for protection against motion sickness. Thereafter, the dose may be repeated every 24 hours for the duration of the journey."
828,Meclofenamate," Meclofenamate sodium is a nonsteroidal anti-inflammatory drug (NSAID) used for the treatment of mild to moderate pain from various conditions (e.g., dental pain, osteoarthritis) and to decrease pain and blood loss from menstrual periods. Meclofenamate sodium is also used alone or with other treatments to reduce pain, swelling, and joint stiffness from rheumatoid arthritis.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fainting,', 'persistent and severe headache,', 'fast and pounding heartbeat,']",The recommended dose of meclofenamate sodium is 50 mg every 4 to 6 hours.
829,Recedo,"Recedo (medical-grade topical silicone) Topical Gel is an advanced silicone treatment intended for the management of old and new hypertrophic or keloid scarring resulting from burns, general surgical procedures or trauma wounds.",[],"Unless otherwise directed by your healthcare practitioner, apply Recedo Gel evenly in a thin layer twice daily. For maximum effect, Recedo Gel should have 24-hour contact with the skin. Recommended minimum treatment time is 60–90 days."
830,Medrol,"Medrol (methylprednisolone) is a glucocorticoid (adrenocortical steroid) that can depress the immune response and inflammation and is used in diseases ranging from rheumatologic, hematologic, endocrine, dermatologic, immunologic, allergic, and ophthalmologic to many others. Medrol is available in generic form.","['skin problems (acne, dry and thinning skin, easy bruising or discoloration), \n\t', 'slow wound healing, ', 'changes in the shape or location of body fat (especially in the neck, face, arms, legs, breasts, and waist), \n\t', 'nausea, ', 'stomach pain, ', 'bloating, ']","Medrol is available as 2, 4, 8, 16 or 32 mg strength tablets. Dosages are extremely variable and are based on what diseases are being treated."
831,Depo-Provera,"Depo-Provera (medroxyprogesterone acetate) is a form of progesterone, a female hormone used as contraception to prevent pregnancy. Depo-Provera is also used to reduce pain cause by endometriosis, and to ease pain and symptoms in women with metastatic uterine or kidney cancer. Depo-Provera is available in generic form.","['heavier or longer menstrual periods,', 'severe pain in your lower stomach,', 'swelling in your face, hands, ankles, and feet,', 'pain, bleeding, oozing (pus), or skin changes where the injection was given,', 'depression,', 'sleep problems,']","The recommended dose of Depo-Provera is 150 mg every 13 weeks administered by 
deep intramuscular (IM) injection in the gluteal or deltoid muscle."
832,Depo-SubQ Provera,"Depo-SubQ Provera (medroxyprogesterone acetate) is a form of progesterone, a female hormone used as contraception to prevent pregnancy. Depo-SubQ Provera is also used to reduce pain cause by endometriosis, and to ease pain and other symptoms in women with metastatic uterine or kidney cancer.","['irregular menstrual bleeding', 'headache', 'weight gain', 'swelling', 'acne', 'fatigue']","Depo-SubQ Provera 104 is given by subcutaneous injection into the anterior thigh or abdomen, once every 3 months (12 to 14 weeks). Dosage does not need to be adjusted for body weight."
833,Provera,"Provera (medroxyprogesterone) is a form of the female hormone progesterone used to treat secondary amenorrhea; abnormal bleeding from the uterus due to hormonal imbalance and not due to fibroids, or cancer; and to prevent endometrial hyperplasia in postmenopausal women who have not undergone a hysterectomy and are receiving conjugated estrogens. Provera is used for contraception and for treating endometrial or renal cancer. A generic version of Provera is available.","['breast tenderness or discharge,', 'hives, ', 'itching, ', 'skin rash, ', 'increased acne, ', 'hair growth,']",The dose of Provera varies depending on the indication. Provera inhibits fertility at high doses.
834,Hms,,"['cataracts', 'glaucoma, and ', 'optic nerve damage ']",N/A
835,Ponstel,,"['upset stomach, ', 'stomach pain, ', 'nausea, ', 'heartburn, ', 'dizziness, ', 'drowsiness, ']",N/A
836,Mefenamic Acid,"Mefenamic Acid is a nonsteroidal anti-inflammatory drug (NSAID) indicated for relief of mild to moderate pain in patients 14 years of age and older, when therapy will not exceed one week (7 days), and for treatment of primary dysmenorrhea. Mefenamic acid is available in generic form.","[' abdominal pain', ' constipation', ' diarrhea', ' indigestion', ' gas', ' gross bleeding/perforation']","For the relief of acute pain in adults and adolescents 14 years of age and older, the recommended dose of mefenamic acid is 500 mg as an initial dose followed by 250 mg every 6 hours as needed, usually not to exceed one week. For the treatment of primary dysmenorrhea, the recommended dose of mefenamic acid is 500 mg as an initial dose followed by 250 mg every 6 hours, given orally, starting with the onset of bleeding and associated symptoms."
837,Mefenamic Acid,"Mefenamic Acid is a nonsteroidal anti-inflammatory drug (NSAID) indicated for relief of mild to moderate pain in patients 14 years of age and older, when therapy will not exceed one week (7 days), and for treatment of primary dysmenorrhea. Mefenamic acid is available in generic form.","[' abdominal pain', ' constipation', ' diarrhea', ' indigestion', ' gas', ' gross bleeding/perforation']","For the relief of acute pain in adults and adolescents 14 years of age and older, the recommended dose of mefenamic acid is 500 mg as an initial dose followed by 250 mg every 6 hours as needed, usually not to exceed one week. For the treatment of primary dysmenorrhea, the recommended dose of mefenamic acid is 500 mg as an initial dose followed by 250 mg every 6 hours, given orally, starting with the onset of bleeding and associated symptoms."
838,Lariam,Lariam (mefloquine hydrochloride) is an antimalarial agent used to treat or prevent malaria. Lariam is available in generic form.,"['sudden headache,', 'ringing in your ears,', 'dizziness,', 'loss of balance,', 'problems with coordination,', 'severe anxiety,']","For treatment of mild to moderate malaria in adults, five tablets (1250 mg) of Lariam are given as a single oral dose. To prevent malaria, prophylaxis should begin 1 week before arrival in an endemic area, and then one 250 mg Lariam tablet once weekly. Pediatric dose is determined by the child's weight."
